city,zone_id,x,y,name,latitude,longitude,ndvi,albedo,isf,pop_density,income_level,elderly_ratio,wind_speed,wind_direction,solar_radiation,air_temperature,distance_to_river,is_water,lst_physics,lst_day_actual,lst_night_actual,residual_pred,lst_day_pred,hvi,hvi_class,cluster,cluster_label,suhii_day,suhii_night,ventilation_suitability
delhi,zone_0,0,0,"Zone (0,0)",28.483900000000002,77.069,0.27343108693379065,0.161504951696244,0.7647725000350435,16021.791475953469,3,0.11360338355577518,2.2399495753881378,240.0,880.3450396623493,43.69761645958439,7.353790510917398,False,90.55470405419439,94.98026615885978,31.82773017024811,4.752289772033691,95.30699382622808,0.3203582254570329,Low Risk,1.0,Moderate Heat / Moderate Risk,10.959013320467847,3.500525972942242,0.3222793039391606
delhi,zone_1,1,0,"Zone (1,0)",28.483900000000002,77.089,0.32083886146064444,0.15334803174452308,0.6847928328151907,15203.470942806993,3,0.1129116975836157,2.314229259255743,240.0,885.5691341640054,43.548511110377405,6.361674491521884,False,89.74913572801093,93.52955128321862,31.592432994271515,4.033891677856445,93.78302740586737,0.2986147435560683,Low Risk,1.0,Moderate Heat / Moderate Risk,9.508298444826693,3.2652287969656477,0.38417430326257873
delhi,zone_2,2,0,"Zone (2,0)",28.483900000000002,77.10900000000001,0.3166653576370084,0.14540572835451676,0.7306036823592504,18171.97311833472,3,0.11203468136384792,2.1395077280366275,240.0,868.3331750701411,43.60189508025682,5.37248264712895,False,91.77679973977072,96.83225730335062,32.01886131152746,4.9710693359375,96.74786907570822,0.34452946430480236,Low Risk,2.0,High Heat / Medium Risk (Heat-Dominant),12.811004464958685,3.6916571142215915,0.35647760121627375
delhi,zone_3,3,0,"Zone (3,0)",28.483900000000002,77.129,0.3640199334366434,0.15030005097579785,0.6122782086459485,16147.449776539117,2,0.11100922307639306,2.121772264971699,240.0,874.5778184506651,43.478091792748536,4.388192936884517,False,91.54730472910529,95.17467198793344,30.752023210677848,3.7275736331939697,95.27487836229926,0.4363054344693824,Medium Risk,1.0,Moderate Heat / Moderate Risk,11.153419149541506,2.4248190133719802,0.44085557769174877
delhi,zone_4,4,0,"Zone (4,0)",28.483900000000002,77.149,0.3709094739454767,0.13129573556779825,0.5363970828355001,14222.687321896015,2,0.11006100233976382,2.39766488464805,240.0,878.9122153628505,43.23940805564778,3.404005589888604,False,88.82742268156731,90.90817621646664,30.46170722543197,2.269193649291992,91.0966163308593,0.38780752186544953,Medium Risk,1.0,Moderate Heat / Moderate Risk,6.886923378074712,2.134503028126101,0.5234035027318993
delhi,zone_5,5,0,"Zone (5,0)",28.483900000000002,77.169,0.3189636146243474,0.12993474761192123,0.6384518552743031,14345.926385428726,2,0.10941791700867229,2.6983100763725703,240.0,869.070264611842,43.20778179242604,2.4240160419798333,False,85.27622175339451,87.65004087019858,29.813924997093586,2.528625726699829,87.80484748009434,0.34458415085132493,Low Risk,0.0,Cool & Resilient (Safe),3.62878803180665,1.4867207997877188,0.5059215127250322
delhi,zone_6,6,0,"Zone (6,0)",28.483900000000002,77.18900000000001,0.35876373019549035,0.13257156627405406,0.5227463193045518,19816.541413472292,2,0.10903972418461458,2.723771488938135,240.0,877.3177276589925,42.89111117547296,1.4495207430379926,False,84.59476982696161,86.6728963161784,29.583900890577375,1.9401055574417114,86.53487538440332,0.3506347731182038,Medium Risk,0.0,Cool & Resilient (Safe),2.6516434777864646,1.2566966932715076,0.6071405146495379
delhi,zone_7,7,0,"Zone (7,0)",28.483900000000002,77.209,0.3599408141237977,0.09448376163560185,0.47548117780613247,20436.58866124644,2,0.10862270200519535,3.099443830210949,240.0,898.6348208038189,42.57237374979908,0.5,False,83.30479380476743,83.68114134635704,28.64867462656529,0.5980228781700134,83.90281668293744,0.3033304263052998,Low Risk,0.0,Cool & Resilient (Safe),-0.3401114920348931,0.3214704292594206,0.6978402625139695
delhi,zone_8,8,0,"Zone (8,0)",28.483900000000002,77.229,0.31959900566997357,0.09699225901693441,0.6389756838285265,20471.875559623815,2,0.10786655214385542,2.9413564318594556,240.0,867.8566829949939,42.96984355171127,0.5,False,84.07639218624414,85.89421764647108,29.786780204846153,2.49245023727417,86.5688424235183,0.35109127699446196,Medium Risk,0.0,Cool & Resilient (Safe),1.8729648080791463,1.459576007540285,0.5892043990104336
delhi,zone_9,9,0,"Zone (9,0)",28.483900000000002,77.24900000000001,0.2745141390261853,0.09240400949065623,0.6793630804183779,24167.985469581705,2,0.10676325398758885,2.637508420654722,240.0,880.1776997399429,43.179014751109136,1.5,False,88.84611249546647,92.2790078094031,30.39428876420517,3.29170560836792,92.13781810383439,0.4270234962961984,Medium Risk,1.0,Moderate Heat / Moderate Risk,8.257754971011167,2.067084566899304,0.5056739022174825
